TXN_ID,Date,Store,Product,Qty,Price
TXN00066,2023-12-06,NYC-02,Monitor,2,283.65
TXN00067,2023-05-08,NYC-02,Cables,1,14.95
TXN00068,2023-04-19,NYC-02,Laptop,1,1058.19
TXN00069,2023-10-26,London-01,TV,9,1477.62
TXN00070,2023-03-28,NYC-02,Cables,7,15.71
TXN00071,2023-06-11,Paris-05,Laptop,1,1258.08
TXN00072,2023-02-06,NYC-02,Cables,8,13.87
TXN00073,2023-12-08,NYC-02,Cables,8,14.57
TXN00074,2023-03-23,Berlin-03,Laptop,8,1196.97
TXN00075,2023-07-03,Berlin-03,Mouse,7,27.57
TXN00076,2023-08-01,Paris-05,Mouse,3,26.08
TXN00077,2023-03-18,Berlin-03,Phone,2,800.66
TXN00078,2023-07-19,Tokyo-04,Keyboard,5,87.34
TXN00079,2023-08-29,Tokyo-04,Monitor,9,276.41
TXN00080,2023-04-12,Paris-05,Laptop,1,1328.9
TXN00081,2023-02-25,Paris-05,Monitor,5,328.88
TXN00082,2023-05-22,Paris-05,Keyboard,3,91.36
TXN00083,2023-01-04,London-01,TV,8,1522.1
TXN00084,2023-12-29,Paris-05,Keyboard,4,98.76
TXN00085,2023-03-30,Paris-05,TV,2,1345.09
TXN00086,2023-12-06,Tokyo-04,Phone,2,702.05
TXN00087,2023-01-03,London-01,Laptop,1,1203.62
TXN00088,2023-02-04,Tokyo-04,Mouse,6,26.17
TXN00089,2023-04-09,Paris-05,Monitor,7,268.26
TXN00090,2023-10-05,Tokyo-04,TV,9,1354.63
TXN00091,2023-06-24,NYC-02,TV,3,1482.0
TXN00092,2023-01-11,Paris-05,TV,2,1325.86
TXN00093,2023-03-16,Paris-05,Keyboard,3,87.84
TXN00094,2023-12-23,Tokyo-04,Keyboard,4,86.96
TXN00095,2023-06-09,Paris-05,Laptop,6,1252.54
TXN00096,2023-01-12,NYC-02,Monitor,1,320.9
TXN00097,2023-12-30,Paris-05,Phone,2,843.66
TXN00098,2023-07-19,Berlin-03,TV,1,1690.54
TXN00099,2023-07-22,Berlin-03,Keyboard,3,113.22
TXN00100,2023-07-20,London-01,Cables,9,13.89
TXN00101,2023-10-04,Paris-05,Keyboard,1,103.7
TXN00102,2023-01-26,Paris-05,Laptop,5,1084.22
TXN00103,2023-09-23,NYC-02,TV,5,1424.96
TXN00104,2023-05-22,NYC-02,TV,4,1715.11
TXN00105,2023-05-09,Tokyo-04,Phone,7,838.33
TXN00106,2023-12-23,Tokyo-04,Monitor,8,278.14
TXN00107,2023-02-14,Berlin-03,Monitor,9,270.07
TXN00108,2023-03-26,Berlin-03,TV,7,1332.41
TXN00109,2023-04-22,NYC-02,Laptop,3,1041.48
TXN00110,2023-07-22,Berlin-03,Mouse,2,22.0
TXN00111,2023-04-04,Berlin-03,Laptop,9,1370.33
TXN00112,2023-06-25,Berlin-03,Cables,4,16.82
TXN00113,2023-11-27,Paris-05,Cables,3,17.24
TXN00114,2023-01-31,Berlin-03,Keyboard,5,113.04
TXN00115,2023-10-11,Tokyo-04,Keyboard,6,111.6
TXN00116,2023-05-26,Paris-05,Mouse,8,24.99
TXN00117,2023-11-01,London-01,Laptop,3,1047.74
TXN00118,2023-03-10,Paris-05,Cables,2,12.97
TXN00119,2023-12-13,Paris-05,Laptop,5,1370.55
TXN00120,2023-08-20,Berlin-03,Phone,8,730.77
TXN00121,2023-11-22,London-01,Laptop,5,1153.55
TXN00122,2023-06-14,London-01,Keyboard,3,85.49
TXN00123,2023-09-03,NYC-02,TV,4,1520.42
TXN00124,2023-01-14,,Keyboard,7,114.3
TXN00125,2023-04-07,Berlin-03,TV,6,1458.17
TXN00126,2023-10-25,London-01,Cables,3,14.69
TXN00127,2023-07-04,Paris-05,Cables,6,16.09
TXN00128,2023-11-06,Berlin-03,Phone,6,815.23
TXN00129,2023-12-16,Berlin-03,Laptop,2,1352.25
TXN00130,2023-07-09,Berlin-03,Keyboard,8,99.91
TXN00131,2023-04-23,Berlin-03,Phone,4,719.17
TXN00132,2023-07-02,Paris-05,Mouse,3,27.78
TXN00133,2023-08-11,Tokyo-04,Mouse,8,27.03
TXN00134,2023-02-10,London-01,Phone,1,700.5
TXN00135,2023-07-16,NYC-02,TV,1,1546.93
TXN00136,2023-01-13,London-01,Monitor,6,301.12
TXN00137,2023-03-19,London-01,Keyboard,5,91.54
TXN00138,2023-03-28,Paris-05,TV,3,1418.52
TXN00139,2023-01-28,Tokyo-04,TV,9,1469.47
TXN00140,2023-12-28,Berlin-03,Cables,9,14.66
TXN00141,2023-08-29,Berlin-03,Laptop,8,1285.83
TXN00142,2023-01-11,London-01,Phone,5,876.38
TXN00143,2023-09-02,Paris-05,Cables,6,16.51
TXN00144,2023-01-02,London-01,Phone,3,787.12
TXN00145,2023-04-04,Tokyo-04,Phone,3,704.58
TXN00146,2023-05-05,Berlin-03,TV,7,1518.91
TXN00147,2023-11-03,Berlin-03,Phone,2,741.91
TXN00148,2023-07-17,Paris-05,Mouse,2,24.5
TXN00149,2023-12-26,Tokyo-04,Monitor,4,288.29
TXN00150,2023-03-24,NYC-02,Cables,2,12.92
TXN00151,2023-03-29,London-01,Keyboard,5,113.51
TXN00152,2023-08-22,London-01,Cables,8,13.89
TXN00153,2023-04-09,Tokyo-04,Laptop,8,1059.19
TXN00154,2023-05-02,Berlin-03,Monitor,6,291.74
TXN00155,2023-03-26,Paris-05,Mouse,7,22.42
TXN00156,2023-12-02,Paris-05,Phone,8,854.0
TXN00157,2023-08-19,NYC-02,Laptop,9,1234.91
TXN00158,2023-09-16,Paris-05,Keyboard,9,96.43
TXN00159,2023-09-10,Tokyo-04,Cables,2,16.52
TXN00160,2023-08-21,Paris-05,Phone,2,796.22
TXN00161,2023-04-27,Berlin-03,Monitor,1,342.55
TXN00162,2023-03-11,Paris-05,Cables,9,16.12
TXN00163,2023-08-15,Paris-05,Phone,9,856.56
TXN00164,2023-09-10,London-01,Monitor,2,266.79
TXN00165,2023-06-29,Tokyo-04,Keyboard,5,86.0
TXN00166,2023-01-18,Tokyo-04,Cables,8,15.3
TXN00167,2023-08-13,Tokyo-04,Monitor,1,298.21
TXN00168,2023-08-14,Berlin-03,Mouse,6,24.2
TXN00169,2023-12-09,NYC-02,Mouse,2,25.12
TXN00170,2023-09-15,Paris-05,Cables,3,13.86
TXN00171,2023-01-03,NYC-02,Cables,2,15.36
TXN00172,2023-03-01,NYC-02,Laptop,6,1308.89
TXN00173,2023-06-20,Paris-05,Monitor,6,313.99
TXN00174,2023-04-28,London-01,Laptop,1,1364.74
TXN00175,2023-01-06,Tokyo-04,Mouse,8,24.01
TXN00176,2023-05-07,London-01,Phone,8,872.48
TXN00177,2023-03-04,Paris-05,Phone,9,687.96
TXN00178,2023-05-04,Berlin-03,TV,3,1667.61
TXN00179,2023-12-18,Paris-05,Laptop,4,1085.9
TXN00180,2023-04-08,Tokyo-04,Keyboard,2,95.07
TXN00181,2023-12-20,Berlin-03,Phone,9,780.25
TXN00182,2023-11-08,London-01,Monitor,5,311.19
TXN00183,2023-01-02,London-01,Phone,6,915.15
TXN00184,2023-06-27,Paris-05,Monitor,8,285.33
TXN00185,2023-05-10,NYC-02,Monitor,8,293.25
TXN00186,2023-11-06,London-01,Cables,3,15.23
TXN00187,2023-01-10,London-01,Laptop,4,1304.27
TXN00188,2023-05-07,Paris-05,Mouse,5,26.86
TXN00189,2023-05-19,Berlin-03,Cables,9,0.0
TXN00190,2023-02-26,Berlin-03,Laptop,4,1248.42
TXN00191,2023-07-23,London-01,Phone,7,843.79
TXN00192,2023-05-05,London-01,Mouse,2,25.11
TXN00193,2023-06-29,Tokyo-04,Mouse,2,28.73
TXN00194,2023-12-23,Berlin-03,Phone,1,746.29
TXN00195,2023-04-11,NYC-02,Cables,9,14.19
TXN00196,2023-07-05,NYC-02,Mouse,2,21.35
TXN00197,2023-08-24,Paris-05,Laptop,1,1327.72
TXN00198,2023-01-15,London-01,Monitor,2,328.8
TXN00199,2023-07-01,Tokyo-04,TV,1,1435.37
TXN00200,2023-11-12,Tokyo-04,Keyboard,2,94.36
TXN00201,2023-07-25,NYC-02,Keyboard,2,111.48
TXN00202,2023-06-12,Tokyo-04,Mouse,5,25.58
TXN00203,2023-08-17,NYC-02,Phone,6,721.47
TXN00204,2023-04-15,Tokyo-04,Laptop,3,1297.86
TXN00205,2023-01-26,Tokyo-04,Laptop,4,1225.8
TXN00206,2023-06-29,NYC-02,Phone,5,904.63
TXN00207,2023-12-01,NYC-02,Cables,7,14.21
TXN00208,2023-12-01,Paris-05,Mouse,4,26.25
TXN00209,2023-06-18,Berlin-03,Monitor,3,290.61
TXN00210,2023-02-22,,TV,1,1398.17
TXN00211,2023-04-08,Berlin-03,Laptop,4,1362.3
TXN00212,2023-07-30,Berlin-03,Mouse,6,25.7
TXN00213,2023-09-27,Paris-05,Monitor,8,267.12
TXN00214,2023-02-22,Paris-05,Mouse,5,24.69
TXN00215,2023-08-02,Berlin-03,Keyboard,8,104.58
TXN00216,2023-12-26,Paris-05,Laptop,8,1219.01
TXN00217,2023-08-25,Paris-05,Phone,7,788.87
TXN00218,2023-09-10,NYC-02,Phone,7,707.05
TXN00219,2023-07-13,Berlin-03,Cables,3,15.02
TXN00220,2023-12-04,London-01,Mouse,1,26.72
TXN00221,2023-09-01,Paris-05,Mouse,5,23.25
TXN00222,2023-11-30,Berlin-03,Mouse,3,21.51
TXN00223,2023-02-28,Berlin-03,Mouse,8,23.22
TXN00224,2023-01-12,Tokyo-04,Mouse,4,21.52
TXN00225,2023-10-27,Berlin-03,Phone,9,791.09
TXN00226,2023-11-18,NYC-02,Laptop,2,1339.91
TXN00227,2023-04-21,Tokyo-04,Mouse,5,21.48
TXN00228,2023-10-05,Paris-05,Cables,5,15.31
TXN00229,2023-10-23,Paris-05,TV,3,1522.01
TXN00230,2023-07-29,Berlin-03,Cables,9,16.21
TXN00231,2023-07-21,London-01,Phone,2,778.68
TXN00232,2023-08-04,NYC-02,Phone,6,682.14
TXN00233,2023-04-11,London-01,Cables,6,16.46
TXN00234,2023-11-30,Paris-05,Keyboard,4,104.42
TXN00235,2023-01-17,Tokyo-04,Laptop,9,1334.53
TXN00236,2023-04-08,Berlin-03,Phone,6,751.03
TXN00237,2023-03-27,Tokyo-04,Keyboard,7,92.54
TXN00238,2023-05-30,Berlin-03,Mouse,6,21.63
TXN00239,2023-11-29,Paris-05,Monitor,8,338.68
TXN00240,2023-12-02,NYC-02,Monitor,1,284.67
TXN00241,2023-06-22,NYC-02,Mouse,2,22.64
TXN00242,2023-03-04,NYC-02,Cables,5,14.99
TXN00243,2023-09-05,London-01,Mouse,3,24.22
TXN00244,2023-11-23,Paris-05,Phone,6,724.43
TXN00245,2023-05-23,Paris-05,Cables,9,12.83
TXN00246,2023-12-20,Tokyo-04,Monitor,3,308.2
TXN00247,2023-05-14,Berlin-03,Keyboard,8,106.27
TXN00248,2023-12-14,Paris-05,Laptop,6,1172.8
TXN00249,2023-03-04,London-01,Keyboard,1,111.91
TXN00250,2023-12-16,Berlin-03,Laptop,9,1285.67
TXN00251,2023-06-08,Paris-05,Phone,9,737.25
TXN00252,2023-01-17,Paris-05,Mouse,8,28.71
TXN00253,2023-12-01,Berlin-03,Phone,6,692.12
TXN00254,2023-07-02,Tokyo-04,TV,5,1363.75
TXN00255,2023-09-09,NYC-02,Mouse,2,24.43
TXN00256,2023-08-18,Tokyo-04,Mouse,7,24.62
TXN00257,2023-09-03,Paris-05,Cables,2,14.72
TXN00258,2023-11-17,Paris-05,Cables,6,13.61
TXN00259,2023-10-24,NYC-02,Monitor,8,259.71
TXN00260,2023-01-16,Paris-05,Mouse,5,24.19
TXN00261,2023-02-20,Paris-05,Mouse,8,22.3
TXN00262,2023-04-11,London-01,Laptop,7,1373.74
TXN00263,2023-06-23,Berlin-03,Monitor,1,257.42
TXN00264,2023-03-28,Tokyo-04,Cables,7,14.79
TXN00265,2023-12-26,Paris-05,Cables,1,16.84
TXN00266,2023-06-19,Berlin-03,Cables,7,12.8
TXN00267,2023-05-31,Berlin-03,Monitor,2,308.79
TXN00268,2023-08-27,Tokyo-04,Phone,4,765.23
TXN00269,2023-10-24,Berlin-03,Keyboard,8,97.54
TXN00270,2023-04-19,Berlin-03,Keyboard,3,113.05
TXN00271,2023-01-09,London-01,Mouse,5,24.35
TXN00272,2023-04-04,Tokyo-04,TV,2,1280.49
TXN00273,2023-03-14,NYC-02,Keyboard,5,91.33
TXN00274,2023-05-22,London-01,Cables,1,13.02
TXN00275,2023-08-18,Tokyo-04,Phone,4,854.42
TXN00276,2023-10-10,London-01,TV,4,1339.62
TXN00277,2023-10-25,Paris-05,Keyboard,8,110.41
TXN00278,2023-05-18,Tokyo-04,Mouse,8,23.81
TXN00279,2023-11-28,NYC-02,Keyboard,3,86.35
TXN00280,2023-03-18,Paris-05,TV,1,1448.53
TXN00281,2023-03-27,Tokyo-04,Laptop,1,1279.88
TXN00282,2023-05-27,NYC-02,Phone,8,878.25
TXN00283,2023-04-05,Berlin-03,Monitor,7,274.92
TXN00284,2023-09-11,Paris-05,Keyboard,4,114.62
TXN00285,2023-05-19,Tokyo-04,Phone,8,760.25
TXN00286,2023-08-10,Tokyo-04,Phone,3,713.03
TXN00287,2023-02-09,London-01,Mouse,5,26.24
TXN00288,2023-05-30,Berlin-03,TV,7,1480.44
TXN00289,2023-12-23,London-01,Laptop,4,1081.7
TXN00290,2023-12-19,NYC-02,Keyboard,2,97.31
TXN00291,2023-01-01,London-01,Keyboard,5,87.27
TXN00292,2023-01-02,Tokyo-04,Laptop,9,1038.99
TXN00293,2023-10-31,Paris-05,Laptop,1,1200.39
TXN00294,2023-10-18,Paris-05,TV,1,1391.04
TXN00295,2023-07-18,London-01,Cables,3,16.07
TXN00296,2023-08-04,Tokyo-04,TV,7,1645.19
TXN00297,2023-03-17,Paris-05,TV,8,1345.83
TXN00298,2023-07-10,NYC-02,Laptop,7,1206.17
TXN00299,2023-08-07,Tokyo-04,Mouse,5,27.53
TXN00300,2023-11-23,Paris-05,Mouse,3,24.48
TXN00301,2023-11-07,UNKNOWN,Phone,6,714.94
TXN00302,2023-05-22,London-01,TV,6,1644.46
TXN00303,2023-02-13,Paris-05,TV,1,1412.05
TXN00304,2023-05-28,NYC-02,Monitor,5,289.38
TXN00305,2023-06-04,Paris-05,Monitor,3,332.93
TXN00306,2023-05-01,Paris-05,Laptop,5,1026.2
TXN00307,2023-04-28,Berlin-03,Phone,6,911.33
TXN00308,2023-07-03,Paris-05,Mouse,7,22.8
TXN00309,2023-11-09,London-01,Keyboard,3,113.15
TXN00310,2023-01-16,Tokyo-04,Keyboard,1,111.31
TXN00311,2023-08-11,Berlin-03,Monitor,4,306.83
TXN00312,2023-06-16,London-01,TV,7,1583.16
TXN00313,2023-04-10,Tokyo-04,Laptop,1,1177.49
TXN00314,2023-03-07,NYC-02,Keyboard,6,111.84
TXN00315,2023-09-13,Paris-05,Mouse,7,27.06
TXN00316,2023-01-01,Tokyo-04,Cables,2,15.51
TXN00317,2023-03-17,Tokyo-04,TV,9,1589.55
TXN00318,2023-05-02,NYC-02,Keyboard,5,105.04
TXN00319,2023-02-16,Paris-05,Keyboard,2,87.38
TXN00320,2023-07-10,Paris-05,Cables,8,0.0
TXN00321,2023-12-07,Paris-05,Laptop,8,1074.28
TXN00322,2023-02-28,NYC-02,Laptop,2,1191.69
TXN00323,2023-04-10,Paris-05,Keyboard,3,113.47
TXN00324,2023-05-12,London-01,Cables,3,14.38
TXN00325,2023-10-07,London-01,Laptop,1,1296.5
TXN00326,2023-10-09,London-01,Laptop,3,1148.08
TXN00327,2023-11-30,Berlin-03,Cables,5,17.11
TXN00328,2023-08-08,Paris-05,Keyboard,4,88.99
TXN00329,2023-05-10,Tokyo-04,Mouse,7,22.72
TXN00330,2023-10-27,Tokyo-04,Monitor,4,264.13
TXN00331,2023-07-18,Tokyo-04,TV,6,1484.83
TXN00332,2023-01-20,Paris-05,Monitor,9,329.54
TXN00333,2023-07-13,NYC-02,Laptop,9,1281.99
TXN00334,2023-12-29,NYC-02,Phone,8,787.51
TXN00335,2023-05-08,London-01,TV,2,1720.97
TXN00336,2023-05-18,Tokyo-04,Mouse,6,27.05
TXN00337,2023-12-05,London-01,Phone,3,742.64
TXN00338,2023-12-07,Berlin-03,TV,4,1712.15
TXN00339,2023-01-30,London-01,Monitor,8,271.35
TXN00340,2023-12-05,Paris-05,Phone,7,890.18
TXN00341,2023-01-24,Berlin-03,TV,8,1573.98
TXN00342,2023-03-26,Tokyo-04,Mouse,1,23.31
TXN00343,2023-10-21,Paris-05,Laptop,8,1284.92
TXN00344,2023-08-29,NYC-02,Laptop,9,1076.06
TXN00345,2023-04-25,London-01,Cables,2,16.27
TXN00346,2023-01-17,NYC-02,Laptop,6,1340.94
TXN00347,2023-03-20,NYC-02,Monitor,9,256.42
TXN00348,2023-12-02,UNKNOWN,Keyboard,3,99.61
TXN00349,2023-09-03,London-01,Phone,9,700.11
TXN00350,2023-04-10,Paris-05,TV,4,1585.01
TXN00351,2023-09-14,Tokyo-04,TV,1,1624.92
TXN00352,2023-06-26,Paris-05,Phone,3,763.59
TXN00353,2023-05-27,Tokyo-04,Mouse,7,22.06
TXN00354,2023-02-18,Berlin-03,Laptop,4,1020.98
TXN00355,2023-09-08,Paris-05,Laptop,7,1272.55
TXN00356,2023-11-23,Tokyo-04,Keyboard,6,92.72
TXN00357,2023-07-05,NYC-02,Monitor,9,312.41
TXN00358,2023-12-09,London-01,TV,6,1334.85
TXN00359,2023-03-15,Paris-05,Monitor,7,298.0
TXN00360,2023-03-05,London-01,Phone,1,759.16
TXN00361,2023-11-19,Berlin-03,Keyboard,3,99.44
TXN00362,2023-01-19,Tokyo-04,Cables,3,17.11
TXN00363,2023-11-22,NYC-02,Mouse,2,23.89
TXN00364,2023-07-18,Paris-05,Mouse,5,24.33
TXN00365,2023-02-19,Tokyo-04,Laptop,5,1142.76
TXN00366,2023-07-29,London-01,Laptop,7,1260.8
TXN00367,2023-08-12,Tokyo-04,Cables,5,13.04
TXN00368,2023-11-09,NYC-02,Cables,4,16.7
TXN00369,2023-06-17,London-01,Mouse,3,26.51
TXN00370,2023-06-05,NYC-02,Keyboard,2,101.7
TXN00371,2023-07-04,Tokyo-04,Laptop,6,1280.23
TXN00372,2023-09-02,Tokyo-04,TV,8,1410.12
TXN00373,2023-10-18,Paris-05,Laptop,2,1127.12
TXN00374,2023-05-01,Berlin-03,Cables,3,15.27
TXN00375,2023-11-22,Paris-05,Monitor,9,330.92
TXN00376,2023-07-12,London-01,Monitor,9,318.11
TXN00377,2023-03-02,Berlin-03,TV,1,1411.94
TXN00378,2023-02-25,NYC-02,Mouse,4,22.37
TXN00379,2023-10-04,Berlin-03,Keyboard,4,95.23
TXN00380,2023-07-19,NYC-02,Keyboard,8,90.81
TXN00381,2023-01-07,London-01,TV,2,1408.65
TXN00382,2023-01-20,NYC-02,Mouse,1,21.89
TXN00383,2023-06-24,London-01,Mouse,9,25.61
TXN00384,2023-06-06,NYC-02,Keyboard,1,90.48
TXN00385,2023-07-06,Tokyo-04,Phone,4,915.98
TXN00386,2023-04-09,London-01,Mouse,8,24.72
TXN00387,2023-04-05,London-01,Monitor,5,312.2
TXN00388,2023-05-26,London-01,Cables,6,12.75
TXN00389,2023-07-10,Paris-05,Phone,6,888.9
TXN00390,2023-01-13,Tokyo-04,Monitor,1,260.14
TXN00391,2023-12-14,Berlin-03,Monitor,1,327.53
TXN00392,2023-03-04,NYC-02,Monitor,6,263.99
TXN00393,2023-02-21,London-01,Mouse,4,24.04
TXN00394,2023-02-27,London-01,Laptop,9,1051.27
TXN00395,2023-05-13,NYC-02,TV,1,1398.71
TXN00396,2023-11-25,Paris-05,Laptop,3,1104.45
TXN00397,2023-08-25,NYC-02,Mouse,6,24.36
TXN00398,2023-04-15,Paris-05,Laptop,8,1201.83
TXN00399,2023-05-17,London-01,Laptop,9,1130.14
TXN00400,2023-03-23,London-01,Keyboard,9,104.8
TXN00401,2023-01-23,Paris-05,TV,7,1649.59
TXN00402,2023-04-30,London-01,Monitor,2,334.39
TXN00403,2023-03-04,Paris-05,Monitor,1,263.61
TXN00404,2023-02-21,Berlin-03,TV,1,1286.27
TXN00405,2023-06-17,Tokyo-04,Keyboard,2,97.6
TXN00406,2023-12-01,Tokyo-04,TV,4,1660.93
TXN00407,2023-10-18,Berlin-03,Keyboard,5,114.98
TXN00408,2023-04-23,London-01,TV,4,1372.72
TXN00409,2023-02-17,Berlin-03,Mouse,3,23.25
TXN00410,2023-08-03,Paris-05,TV,8,1299.04
TXN00411,2023-04-23,NYC-02,Phone,2,751.59
TXN00412,2023-01-26,Berlin-03,Phone,8,793.42
TXN00413,2023-06-06,Paris-05,Phone,4,836.24
TXN00414,2023-10-31,London-01,Monitor,5,303.22
TXN00415,2023-04-07,Paris-05,Keyboard,1,88.65
TXN00416,2023-09-09,London-01,Mouse,6,21.89
TXN00417,2023-12-31,Berlin-03,Monitor,9,338.12
TXN00418,2023-03-13,NYC-02,Monitor,7,320.34
TXN00419,2023-09-03,Paris-05,Phone,2,889.87
TXN00420,2023-11-11,NYC-02,TV,1,1599.42
TXN00421,2023-07-06,Tokyo-04,Laptop,6,1097.75
TXN00422,2023-03-03,Paris-05,Mouse,3,26.27
TXN00423,2023-02-16,Tokyo-04,TV,2,1715.15
TXN00424,2023-05-08,London-01,Keyboard,4,94.63
TXN00425,2023-01-31,Tokyo-04,TV,6,1624.38
TXN00426,2023-04-03,NYC-02,Mouse,8,27.41
TXN00427,2023-10-08,London-01,TV,2,1506.72
TXN00428,2023-10-11,London-01,TV,8,1540.74
TXN00429,2023-02-28,London-01,Mouse,8,23.82
TXN00430,2023-12-11,Berlin-03,Laptop,7,1259.06
TXN00431,2023-03-29,Paris-05,Phone,6,736.44
TXN00432,2023-04-22,London-01,Mouse,6,26.68
TXN00433,2023-02-09,Paris-05,Monitor,5,315.96
TXN00434,2023-02-11,Tokyo-04,Mouse,6,22.24
TXN00435,2023-12-08,London-01,Cables,3,16.97
TXN00436,2023-01-05,Paris-05,Mouse,8,25.95
TXN00437,2023-04-21,Paris-05,Phone,6,902.59
TXN00438,2023-12-03,Tokyo-04,Monitor,2,264.91
TXN00439,2023-12-27,Paris-05,Laptop,3,1180.76
TXN00440,2023-11-05,London-01,Phone,5,855.83
TXN00441,2023-01-17,Tokyo-04,Laptop,2,1083.11
TXN00442,2023-01-07,NYC-02,Mouse,4,28.02
TXN00443,2023-04-10,Paris-05,Laptop,6,1233.13
TXN00444,2023-02-02,London-01,Laptop,7,1362.47
TXN00445,2023-08-25,Berlin-03,Cables,3,15.59
TXN00446,2023-05-10,London-01,Phone,9,796.15
TXN00447,2023-06-21,Berlin-03,Monitor,6,0.0
TXN00448,2023-12-19,NYC-02,Phone,8,905.68
TXN00449,2023-10-16,London-01,Laptop,1,1128.63
TXN00450,2023-03-23,NYC-02,Monitor,6,279.9
TXN00451,2023-07-02,Berlin-03,Mouse,4,25.13
TXN00452,2023-08-10,NYC-02,TV,6,1565.2
TXN00453,2023-05-21,Paris-05,Mouse,6,25.62
TXN00454,2023-11-20,Paris-05,Phone,2,704.1
TXN00455,2023-09-04,London-01,Monitor,9,318.75
TXN00456,2023-01-30,Berlin-03,TV,8,1373.39
TXN00457,2023-09-13,NYC-02,Phone,9,890.7
TXN00458,2023-03-04,London-01,Monitor,9,281.45
TXN00459,2023-02-26,NYC-02,Laptop,8,1349.41
TXN00460,2023-12-18,London-01,TV,6,1598.22
TXN00461,2023-12-02,Tokyo-04,Cables,5,16.03
TXN00462,2023-11-02,Berlin-03,Laptop,8,1032.13
TXN00463,2023-09-28,Tokyo-04,Monitor,2,292.92
